IDDE;DNI1;DNI2;PERIODO;ID_SERVI;NOMBRE_SERVI;CODI_SENTI;PATENTE;CODI_EXPE;FECH_CHI;FECH_UTC;POSI_PUNTO;LATITUD;LONGITUD;VELOCIDAD;PASO_HORA_CHL;PASO_HORA_UTC;PERIODO_HORA;VALIDA;EXTRA
BCHK58-02/08/2021 07:17:50-21;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;21;-23,583971;-70,381250;24;02/08/2021 08:40:48;02/08/2021 12:40:48;7;0;0
BCHK58-02/08/2021 07:17:50-22;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;22;-23,578547;-70,380674;16;02/08/2021 08:42:49;02/08/2021 12:42:49;7;0;0
BCHK58-02/08/2021 07:17:50-23;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;23;-23,575460;-70,378250;22;02/08/2021 08:46:48;02/08/2021 12:46:48;7;0;0
BCHK58-02/08/2021 07:17:50-24;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;24;-23,573483;-70,382142;29;02/08/2021 08:49:48;02/08/2021 12:49:48;7;0;0
BCHK58-02/08/2021 07:17:50-25;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;25;-23,569675;-70,379514;19;02/08/2021 08:53:48;02/08/2021 12:53:48;7;0;0
BCHK58-02/08/2021 07:17:50-26;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;26;-23,569543;-70,377594;10;02/08/2021 08:57:18;02/08/2021 12:57:18;7;0;0
BCHK58-02/08/2021 07:17:50-27;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;27;-23,564537;-70,384818;12;02/08/2021 09:02:19;02/08/2021 13:02:19;7;0;0
BCHK58-02/08/2021 07:17:50-28;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;28;-23,563513;-70,391063;30;02/08/2021 09:06:18;02/08/2021 13:06:18;7;0;0
BCHK58-02/08/2021 07:17:50-29;96711420;77130027;202108;376;104;1;BCHK58;27903054;02/08/2021 07:17:50;02/08/2021 11:17:50;29;-23,555423;-70,391340;26;02/08/2021 09:07:49;02/08/2021 13:07:49;7;0;0
BCHK58-02/08/2021 10:00:20-1;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;1;-23,550549;-70,387464;8;02/08/2021 10:00:20;02/08/2021 14:00:20;9;1;0
BCHK58-02/08/2021 10:00:20-2;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;2;-23,559483;-70,391175;40;02/08/2021 10:04:21;02/08/2021 14:04:21;9;1;0
BCHK58-02/08/2021 10:00:20-3;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;3;-23,565941;-70,383100;15;02/08/2021 10:08:50;02/08/2021 14:08:50;9;1;0
BCHK58-02/08/2021 10:00:20-4;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;4;-23,567920;-70,380074;14;02/08/2021 10:10:49;02/08/2021 14:10:49;9;1;0
BCHK58-02/08/2021 10:00:20-5;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;5;-23,569116;-70,376841;5;02/08/2021 10:12:51;02/08/2021 14:12:51;9;1;0
BCHK58-02/08/2021 10:00:20-6;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;6;-23,573484;-70,382142;23;02/08/2021 10:17:50;02/08/2021 14:17:50;9;1;0
BCHK58-02/08/2021 10:00:20-7;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;7;-23,576353;-70,374956;17;02/08/2021 10:21:21;02/08/2021 14:21:21;9;1;0
BCHK58-02/08/2021 10:00:20-8;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;8;-23,581342;-70,383032;38;02/08/2021 10:26:51;02/08/2021 14:26:51;9;1;0
BCHK58-02/08/2021 10:00:20-9;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;9;-23,585517;-70,382730;29;02/08/2021 10:27:50;02/08/2021 14:27:50;9;1;0
BCHK58-02/08/2021 10:00:20-11;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;11;-23,599452;-70,374852;27;02/08/2021 10:37:50;02/08/2021 14:37:50;9;1;0
BCHK58-02/08/2021 10:00:20-12;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;12;-23,610145;-70,378165;36;02/08/2021 10:42:20;02/08/2021 14:42:20;9;1;0
BCHK58-02/08/2021 10:00:20-13;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;13;-23,632057;-70,384454;32;02/08/2021 10:51:51;02/08/2021 14:51:51;9;1;0
BCHK58-02/08/2021 10:00:20-14;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;14;-23,648445;-70,397879;16;02/08/2021 11:02:21;02/08/2021 15:02:21;9;1;0
BCHK58-02/08/2021 10:00:20-15;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;15;-23,668106;-70,399001;51;02/08/2021 11:13:52;02/08/2021 15:13:52;9;1;0
BCHK58-02/08/2021 10:00:20-16;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;16;-23,678731;-70,409510;26;02/08/2021 11:17:51;02/08/2021 15:17:51;9;1;0
BCHK58-02/08/2021 10:00:20-17;96711420;77130027;202108;376;104;0;BCHK58;27912743;02/08/2021 10:00:20;02/08/2021 14:00:20;17;-23,702226;-70,423604;46;02/08/2021 11:23:21;02/08/2021 15:23:21;9;1;0
BCHK58-02/08/2021 11:37:12-1;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;1;-23,735081;-70,440404;37;02/08/2021 11:37:12;02/08/2021 15:37:12;11;1;0
BCHK58-02/08/2021 11:37:12-2;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;2;-23,702243;-70,423490;37;02/08/2021 11:44:22;02/08/2021 15:44:22;11;1;0
BCHK58-02/08/2021 11:37:12-3;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;3;-23,678744;-70,409430;20;02/08/2021 11:52:21;02/08/2021 15:52:21;11;1;0
BCHK58-02/08/2021 11:37:12-4;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;4;-23,672720;-70,404317;26;02/08/2021 11:55:51;02/08/2021 15:55:51;11;1;0
BCHK58-02/08/2021 11:37:12-5;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;5;-23,669938;-70,401066;33;02/08/2021 11:58:22;02/08/2021 15:58:22;11;1;0
BCHK58-02/08/2021 11:37:12-6;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;6;-23,664990;-70,396700;25;02/08/2021 12:00:22;02/08/2021 16:00:22;11;1;0
BCHK58-02/08/2021 11:37:12-7;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;7;-23,657110;-70,394161;22;02/08/2021 12:03:53;02/08/2021 16:03:53;11;1;0
BCHK58-02/08/2021 11:37:12-8;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;8;-23,647395;-70,401901;9;02/08/2021 12:14:54;02/08/2021 16:14:54;11;1;0
BCHK58-02/08/2021 11:37:12-9;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;9;-23,647397;-70,398341;4;02/08/2021 12:17:54;02/08/2021 16:17:54;11;1;0
BCHK58-02/08/2021 11:37:12-10;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;10;-23,648425;-70,391249;33;02/08/2021 12:24:24;02/08/2021 16:24:24;11;1;0
BCHK58-02/08/2021 11:37:12-11;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;11;-23,638919;-70,386425;26;02/08/2021 12:26:49;02/08/2021 16:26:49;11;1;0
BCHK58-02/08/2021 11:37:12-12;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;12;-23,631041;-70,385091;24;02/08/2021 12:29:20;02/08/2021 16:29:20;11;1;0
BCHK58-02/08/2021 11:37:12-13;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;13;-23,629347;-70,377409;9;02/08/2021 12:31:24;02/08/2021 16:31:24;11;1;0
BCHK58-02/08/2021 11:37:12-14;96711420;77130027;202108;376;104;1;BCHK58;27918116;02/08/2021 11:37:12;02/08/2021 15:37:12;14;-23,621291;-70,379101;12;02/08/2021 12:36:53;02/08/2021 16:36:53;11;1;0
BCHK58-02/08/2021 17:38:52-1;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;1;-23,550549;-70,387464;8;02/08/2021 17:38:52;02/08/2021 21:38:52;17;0;0
BCHK58-02/08/2021 17:38:52-2;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;2;-23,559483;-70,391175;32;02/08/2021 17:42:52;02/08/2021 21:42:52;17;0;0
BCHK58-02/08/2021 17:38:52-3;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;3;-23,565941;-70,383100;11;02/08/2021 17:52:23;02/08/2021 21:52:23;17;0;0
BCHK58-02/08/2021 17:38:52-4;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;4;-23,567920;-70,380074;17;02/08/2021 17:56:22;02/08/2021 21:56:22;17;0;0
BCHK58-02/08/2021 17:38:52-5;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;5;-23,569116;-70,376841;24;02/08/2021 17:58:23;02/08/2021 21:58:23;17;0;0
BCHK58-02/08/2021 17:38:52-6;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;6;-23,573484;-70,382142;21;02/08/2021 18:01:51;02/08/2021 22:01:51;17;0;0
BCHK58-02/08/2021 17:38:52-7;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;7;-23,576353;-70,374956;20;02/08/2021 18:07:53;02/08/2021 22:07:53;17;0;0
BCHK58-02/08/2021 17:38:52-8;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;8;-23,581342;-70,383032;31;02/08/2021 18:13:19;02/08/2021 22:13:19;17;0;0
BCHK58-02/08/2021 17:38:52-9;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;9;-23,585517;-70,382730;22;02/08/2021 18:14:52;02/08/2021 22:14:52;17;0;0
BCHK58-02/08/2021 17:38:52-10;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;10;-23,592426;-70,378548;24;02/08/2021 18:20:23;02/08/2021 22:20:23;17;0;0
BCHK58-02/08/2021 17:38:52-11;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;11;-23,599452;-70,374852;3;02/08/2021 18:25:53;02/08/2021 22:25:53;17;0;0
BCHK58-02/08/2021 17:38:52-12;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;12;-23,610145;-70,378165;37;02/08/2021 18:29:53;02/08/2021 22:29:53;17;0;0
BCHK58-02/08/2021 17:38:52-13;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;13;-23,632057;-70,384454;37;02/08/2021 18:42:53;02/08/2021 22:42:53;17;0;0
BCHK58-02/08/2021 17:38:52-14;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;14;-23,648445;-70,397879;14;02/08/2021 18:59:51;02/08/2021 22:59:51;17;0;0
BCHK58-02/08/2021 17:38:52-15;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;15;-23,668106;-70,399001;51;02/08/2021 19:09:24;02/08/2021 23:09:24;17;0;0
BCHK58-02/08/2021 17:38:52-16;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;16;-23,678731;-70,409510;49;02/08/2021 19:14:23;02/08/2021 23:14:23;17;0;0
BCHK58-02/08/2021 17:38:52-17;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;17;-23,702226;-70,423604;79;02/08/2021 19:19:21;02/08/2021 23:19:21;17;0;0
BCHK58-02/08/2021 17:38:52-18;96711420;77130027;202108;376;104;0;BCHK58;27940255;02/08/2021 17:38:52;02/08/2021 21:38:52;18;-23,734661;-70,440243;59;02/08/2021 19:24:24;02/08/2021 23:24:24;17;0;0
BCHK58-02/08/2021 19:31:20-2;96711420;77130027;202108;376;104;1;BCHK58;27946772;02/08/2021 19:31:20;02/08/2021 23:31:20;2;-23,702243;-70,423490;25;02/08/2021 19:31:20;02/08/2021 23:31:20;19;1;0
BCHK58-02/08/2021 19:31:20-8;96711420;77130027;202108;376;104;1;BCHK58;27946772;02/08/2021 19:31:20;02/08/2021 23:31:20;8;-23,647395;-70,401901;60;02/08/2021 19:46:23;02/08/2021 23:46:23;19;1;0
BCHK58-02/08/2021 19:31:20-20;96711420;77130027;202108;376;104;1;BCHK58;27946772;02/08/2021 19:31:20;02/08/2021 23:31:20;20;-23,586614;-70,380019;1;02/08/2021 20:11:20;03/08/2021 00:11:20;19;1;0
FCVW21-02/08/2021 09:03:51-1;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;1;-23,550549;-70,387464;11;02/08/2021 09:03:51;02/08/2021 13:03:51;9;0;0
FCVW21-02/08/2021 09:03:51-2;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;2;-23,559483;-70,391175;41;02/08/2021 09:06:51;02/08/2021 13:06:51;9;0;0
FCVW21-02/08/2021 09:03:51-3;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;3;-23,565941;-70,383100;27;02/08/2021 09:11:21;02/08/2021 13:11:21;9;0;0
FCVW21-02/08/2021 09:03:51-4;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;4;-23,567920;-70,380074;10;02/08/2021 09:13:50;02/08/2021 13:13:50;9;0;0
FCVW21-02/08/2021 09:03:51-5;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;5;-23,569116;-70,376841;12;02/08/2021 09:16:21;02/08/2021 13:16:21;9;0;0
FCVW21-02/08/2021 09:03:51-6;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;6;-23,573484;-70,382142;23;02/08/2021 09:21:21;02/08/2021 13:21:21;9;0;0
FCVW21-02/08/2021 09:03:51-7;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;7;-23,576353;-70,374956;15;02/08/2021 09:24:51;02/08/2021 13:24:51;9;0;0
FCVW21-02/08/2021 09:03:51-8;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;8;-23,581342;-70,383032;30;02/08/2021 09:29:19;02/08/2021 13:29:19;9;0;0
FCVW21-02/08/2021 09:03:51-9;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;9;-23,585517;-70,382730;29;02/08/2021 09:30:49;02/08/2021 13:30:49;9;0;0
FCVW21-02/08/2021 09:03:51-10;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;10;-23,592426;-70,378548;15;02/08/2021 09:34:52;02/08/2021 13:34:52;9;0;0
FCVW21-02/08/2021 09:03:51-11;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;11;-23,599452;-70,374852;13;02/08/2021 09:38:51;02/08/2021 13:38:51;9;0;0
FCVW21-02/08/2021 09:03:51-12;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;12;-23,610145;-70,378165;16;02/08/2021 09:43:22;02/08/2021 13:43:22;9;0;0
FCVW21-02/08/2021 09:03:51-13;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;13;-23,632057;-70,384454;21;02/08/2021 09:56:21;02/08/2021 13:56:21;9;0;0
FCVW21-02/08/2021 09:03:51-14;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;14;-23,648445;-70,397879;14;02/08/2021 10:07:55;02/08/2021 14:07:55;9;0;0
FCVW21-02/08/2021 09:03:51-15;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;15;-23,668106;-70,399001;23;02/08/2021 10:17:46;02/08/2021 14:17:46;9;0;0
FCVW21-02/08/2021 09:03:51-16;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;16;-23,678731;-70,409510;31;02/08/2021 10:24:21;02/08/2021 14:24:21;9;0;0
FCVW21-02/08/2021 09:03:51-17;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;17;-23,702226;-70,423604;59;02/08/2021 10:29:16;02/08/2021 14:29:16;9;0;0
FCVW21-02/08/2021 09:03:51-18;96711420;77130027;202108;376;104;0;FCVW21;27909353;02/08/2021 09:03:51;02/08/2021 13:03:51;18;-23,734661;-70,440243;26;02/08/2021 10:35:14;02/08/2021 14:35:14;9;0;0
FCVW21-02/08/2021 10:43:25-1;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;1;-23,735081;-70,440404;10;02/08/2021 10:43:25;02/08/2021 14:43:25;10;0;0
FCVW21-02/08/2021 10:43:25-2;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;2;-23,702243;-70,423490;53;02/08/2021 10:50:50;02/08/2021 14:50:50;10;0;0
FCVW21-02/08/2021 10:43:25-3;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;3;-23,678744;-70,409430;46;02/08/2021 10:57:48;02/08/2021 14:57:48;10;0;0
FCVW21-02/08/2021 10:43:25-4;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;4;-23,672720;-70,404317;34;02/08/2021 11:00:49;02/08/2021 15:00:49;10;0;0
FCVW21-02/08/2021 10:43:25-5;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;5;-23,669938;-70,401066;28;02/08/2021 11:03:18;02/08/2021 15:03:18;10;0;0
FCVW21-02/08/2021 10:43:25-6;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;6;-23,664990;-70,396700;28;02/08/2021 11:05:49;02/08/2021 15:05:49;10;0;0
FCVW21-02/08/2021 10:43:25-7;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;7;-23,657110;-70,394161;28;02/08/2021 11:08:48;02/08/2021 15:08:48;10;0;0
FCVW21-02/08/2021 10:43:25-8;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;8;-23,647395;-70,401901;12;02/08/2021 11:17:49;02/08/2021 15:17:49;10;0;0
FCVW21-02/08/2021 10:43:25-9;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;9;-23,647397;-70,398341;17;02/08/2021 11:21:18;02/08/2021 15:21:18;10;0;0
FCVW21-02/08/2021 10:43:25-10;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;10;-23,648425;-70,391249;31;02/08/2021 11:26:49;02/08/2021 15:26:49;10;0;0
FCVW21-02/08/2021 10:43:25-11;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;11;-23,638919;-70,386425;26;02/08/2021 11:29:49;02/08/2021 15:29:49;10;0;0
FCVW21-02/08/2021 10:43:25-12;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;12;-23,631041;-70,385091;31;02/08/2021 11:32:49;02/08/2021 15:32:49;10;0;0
FCVW21-02/08/2021 10:43:25-13;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;13;-23,629347;-70,377409;11;02/08/2021 11:34:49;02/08/2021 15:34:49;10;0;0
FCVW21-02/08/2021 10:43:25-14;96711420;77130027;202108;376;104;1;FCVW21;27914966;02/08/2021 10:43:25;02/08/2021 14:43:25;14;-23,621291;-70,379101;10;02/08/2021 11:38:49;02/08/2021 15:38:49;10;0;0
